id	name	org	league	gender	birthday	period	birthplace
itoutaito	伊藤泰斗	JPML	E1②	male	08/07	第38期	北関東
itoudaisuke	伊藤大輔	JPML	D3②	male	11/26	第24期	東京
itounaoki	伊藤直輝	JPML	—	male	11/27	第34期	北海道
tetsuya_ito	伊藤鉄也	JPML	A2	male	12/14	第22期	中部
itouyuuki	伊藤佑樹	JPML	—	male	07/13	第36期	中部
itouyuuta	伊藤佑太	JPML	E2①	male	04/06	第41期	東京
itouyuukou	伊藤優孝	JPML	B2	male	07/11	第1期	東京
iokentarou	伊尾健太朗	JPML	—	male	08/07	第40期	中部
ifukumasaki	伊福正起	JPML	—	male	01/15	第40期	九州
isakaakihiro	井坂彰宏	JPML	D2①	male	05/28	第36期	東京
idekazunori	井出一寛	JPML	C3	male	05/09	第12期	東京
kohei_ide	井出康平	JPML	A2	male	05/17	第21期	東京
inoueemiko	井上絵美子	JPML	—	female	09/06	第28期	東京
inouenaoyuki	井上真孝	JPML	E1②	male	09/29	第31期	東京
inoueyasuhide	井上泰秀	JPML	E1①	male	12/27	第35期	関西
ibukashouki	井深翔基	JPML	—	male	07/26	第42期	中部
ichinoseaoi	一ノ瀬葵	JPML	—	female	04/07	第41期	関西
shinya_hitotsui	一井慎也	JPML	B1	male	07/28	第17期	東京
ichimiyasakura	一宮さくら	JPML	E2①	female	03/11	第40期	東京
ichimorikana	一森かな	JPML	E1①	female		第39期	東京
ichinoseyuri	一瀬由梨	JPML	D1②	female	11/10	第33期	東京
inaokamika	稲岡ミカ	JPML	—	female	08/17	第29期	関西
inagakiakihiko	稲垣諒彦	JPML	—	male	12/19	第32期	関西
hayamamakoto	羽山真生	JPML	C1	male	09/14	第27期	東京
hatatatsuki	羽田龍生	JPML	E2②	male	12/25	第35期	東京
amamiyarena	雨宮礼奈	JPML	—	female	11/01	第42期	北海道
ukaikousuke	鵜飼倖輔	JPML	—	male	03/28	第42期	中部
unokenichi	鵜野健一	JPML	—	male	12/16	第40期	四国
uratatoyohito	浦田豊人	JPML	—	male	09/10	第8期	北陸
uranoshuuhei	浦野修平	JPML	D1②	male	12/23	第35期	東京
eidayuusaku	栄田勇作	JPML	—	male	09/28	第39期	北陸
nagaimasaharu	永井勝晴	JPML	D3②	male	06/29	第30期	東京
takuya_nagai	永井卓也	JPML	A2	male	03/23	第21期	東京
nagatataishi	永田泰志	JPML	—	male	01/15	第40期	四国
etsukishinnosuke	悦喜真之介	JPML	—	male		第39期	東京
koshikawaseiichi	越川清一	JPML	—	male	08/11	第24期	中部
koshinosayaka	越野沙耶佳	JPML	E3①	female	02/24	第42期	東京
koshinotomonori	越野智紀	JPML	C1	male	06/10	第23期	東京
sonodahikaru	園田光	JPML	—	male	02/08	第41期	九州
masatoshi_sarukawa	猿川真寿	JPML	B1	male	04/18	第17期	東京
saruwatariteruya	猿渡輝也	JPML	C3	male	07/20	第38期	東京
endoushouta	遠藤昭太	JPML	—	male	05/09	第22期	東北
okujunji	奥潤次	JPML	—	male	04/02	第34期	中部
okumurasatoshi	奥村恵士	JPML	E2①	male	06/16	第40期	東京
okutsuyuuki	奥津勇輝	JPML	C3	male	12/18	第33期	東京
okudayuuki	奥田裕貴	JPML	—	male	05/02	第35期	関西
okunoshingo	奥野真語	JPML	—	male	04/17	第36期	中部
oshitemari	押手まり	JPML	E3②	female	09/14	第40期	東京
yokoyamatakeshi	横山毅	JPML	—	male	12/03	第15期	関西
yokotakoutarou	横田幸太朗	JPML	—	male	09/08	第36期	九州
wanjienfan	王政芳	JPML	—	female	05/30	第22期	東京
okaryouta	岡リョウタ	JPML	—	male	05/17	第42期	東北
okazakikeigo	岡崎圭吾	JPML	C2	male	08/31	第36期	東北
okazakiryouta	岡崎涼太	JPML	C2	male	08/22	第34期	東京
okadakeisuke	岡田啓佑	JPML	E1②	male	12/08	第38期	東京
okada	岡田紗佳	JPML	C2	female	1994/02/19	第32期	東京都世田谷区
okadatakuya	岡田拓也	JPML	—	male	09/08	第37期	北陸
okadatomokazu	岡田智和	JPML	C1	male	02/02	第32期	中部
okadamiku	岡田美紅	JPML	E3①	female	11/17	第42期	東京
okadashigeru	岡田茂	JPML	D1①	male	05/28	第22期	東京
okadayuuta	岡田裕太	JPML	E1②	male	11/29	第40期	東京
okamotokeisuke	岡本佳祐	JPML	—	male	11/18	第39期	中部
okamototakeshi	岡本丈司	JPML	—	male	02/06	第23期	中部
okamotoshinichi	岡本真一	JPML	C3	male	12/01	第24期	東京
okamotoyuuki	岡本悠輝	JPML	—	male	08/14	第36期	関西
kazuya_okamoto	岡本和也	JPML	B1	male	08/10	第27期	静岡
okaryuusuke	岡竜介	JPML	C1	male	10/15	第24期	東京
okihikaru	沖ヒカル	JPML	C2	male	01/12	第34期	東京
okinotakeyuki	沖野健行	JPML	C3	male	12/24	第35期	東京
okemotoatsushi	桶本篤史	JPML	C3	male	02/11	第25期	東京
otohanao	音羽なお	JPML	—	female	06/06	第33期	関西
shimoyamatetsuya	下山哲也	JPML	—	male	06/26	第28期	九州
shimodayuuto	下田悠斗	JPML	—	male	09/17	第41期	九州
kagayaharuka	加賀谷春歌	JPML	D3①	female	03/10	第37期	東京
kagamiyukitaka	加賀美幸孝	JPML	C2	male	06/11	第29期	東京
kagoyua	加護優愛	JPML	D1①	female	02/04	第38期	東京
kasedashouta	加世田奨大	JPML	—	male	05/20	第41期	関西
kadaryou	加田涼	JPML	—	male	05/27	第42期	静岡
katouyumi	加藤ゆみ	JPML	—	female	01/12	第37期	中部
katoutakahito	加藤貴一	JPML	D2①	male	05/04	第36期	東京
katoushinpei	加藤晋平	JPML	—	male	09/25	第27期	北海道
katouyasushi	加藤泰史	JPML	—	male	07/29	第27期	中部
katoutakumi	加藤拓海	JPML	C2	male	09/30	第38期	東京
katoutetsurou	加藤哲郎	JPML	C3	male	04/12	第39期	東京
katouyuuhi	加藤勇飛	JPML	E2②	male	01/21	第38期	東北
katouryouga	加藤凌賀	JPML	—	male		第42期	東北
kakuchikako	加来千香子	JPML	—	female	11/09	第34期	中部
natsukawanatsumi	夏川夏未	JPML	E1①	female	07/15	第38期	東京
natsumeichika	夏目一花	JPML	E1①	female	10/06	第38期	東京
natsumemidori	夏目翠	JPML	E3①	female	06/21	第34期	東京
natsunochiyo	夏野千代	JPML	—	male	03/09	第40期	北陸
iedamiyuki	家田みゆき	JPML	—	female	04/18	第20期	中部
kawaishingo	河合慎悟	JPML	—	male	10/23	第25期	中部
kounomaya	河野まや	JPML	—	female	05/26	第30期	九州
kawanominori	河野みのり	JPML	—	female	10/18	第28期	九州
kounosatoshi	河野智士	JPML	—	male	05/26	第36期	関西
hanaokaakio	花岡章生	JPML	C1	male	02/01	第16期	関西
hanamiyamisaki	花宮海咲	JPML	E1①	female	06/12	第37期	東京
hanamurakaichi	花村魁千	JPML	—	male	02/19	第41期	静岡
hanadayuuki	花田裕貴	JPML	E3①	male	07/15	第37期	東京
minagawanaoki	皆川直毅	JPML	D1①	male	12/31	第20期	東北
minagawayuusuke	皆川侑亮	JPML	C3	male	10/03	第36期	東京
kaizawatakuya	開澤拓弥	JPML	—	male	11/23	第41期	北海道
kaibarakaoru	貝原香	JPML	C2	male	06/20	第35期	東京
toshimaryouta	外嶋諒汰	JPML	—	male	10/13	第36期	東京
kakimotoyuusuke	柿元裕介	JPML	—	male	07/25	第34期	九州
kakizoemakoto	柿添誠	JPML	—	male	03/26	第33期	九州
kakimotoyukihiro	柿本幸宏	JPML	B2	male	02/25	第40期	中部
kakunohibiki	覚野陽生	JPML	C1	male	03/21	第40期	関西
sumiyayasuhito	角屋保人	JPML	E1②	male	04/27	第20期	東京
kadoyayousuke	角谷陽介	JPML	C2	male		第33期	東京
kakutataishi	角田大志	JPML	—	male	01/26	第37期	東京
kakemizuhironori	掛水洋徳	JPML	—	male	06/02	第21期	中部
kakehitadao	掛樋忠雄	JPML	—	male	07/30	第23期	関西
kasaharahiroki	笠原拓樹	JPML	C2	male	08/31	第36期	東京
kashinonagi	樫野凪	JPML	E2①	female	09/25	第40期	東京
kashibayashiaiko	樫林愛子	JPML	—	female	06/10	第35期	関西
kanairiri	叶璃々	JPML	E3②	female	10/14	第40期	東京
kamayamakoutarou	釜山甲太郎	JPML	—	male	07/12	第38期	東京
kamatanitakaya	鎌谷貴也	JPML	—	male	08/05	第41期	東京
kamomai	鴨舞	JPML	—	female	09/10	第38期	東京
kanjouhiroshi	貫上洋志	JPML	—	male	11/11	第23期	関西
maseshouta	間瀬聖太	JPML	—	male	12/25	第41期	中部
sekinedaichi	関根大地	JPML	E1②	male	06/19	第37期	東京
sekiyamasanobu	関谷正信	JPML	E3②	male	02/08	第42期	東京
sekijimayoshiki	関島義基	JPML	D2②	male	01/12	第12期	東京
sekimotokouki	関本幸樹	JPML	C2	male	11/01	第38期	東京
maruiikki	丸井一輝	JPML	—	male	05/13	第35期	関西
maruyamanao	丸山直	JPML	—	male	04/13	第26期	関西
iwasakikenta	岩崎健太	JPML	D1①	male	11/09	第39期	東京
iwasakishouta	岩崎翔太	JPML	—	male	06/14	第37期	東京
iwamurayoshihisa	岩村義久	JPML	—	male	12/12	第39期	九州
iwamuramichiko	岩村美智子	JPML	—	female	04/16	第34期	九州
iwasakijin	岩﨑仁	JPML	—	male	09/04	第39期	東京
kidonobuhiko	喜戸信彦	JPML	E1①	male	02/13	第38期	東京
kitakiyotaka	喜多清貴	JPML	—	male	08/04	第28期	北海道
kameiraizu	亀井来寿	JPML	C2	male	09/08	第40期	東京
masato_kikuhara	菊原真人	JPML	B1	male	03/26	第32期	東京
kikuchimiu	菊地美羽	JPML	D2①	female	06/05	第37期	北関東
kikuchigou	菊池豪	JPML	—	male	07/16	第28期	九州
kikutamasatoshi	菊田政俊	JPML	B2	male	12/02	第32期	東北
yoshiiyuu	吉井優	JPML	E1②	male	11/19	第37期	東京
yoshiitomotada	吉井友直	JPML	—	male	09/17	第19期	九州
yoshinarisatoru	吉成敏	JPML	E3②	male	03/16	第37期	東京
yoshinariyuuki	吉成雄輝	JPML	—	male	04/03	第38期	東京
yoshikawayuuta	吉川裕太	JPML	—	male	08/07	第34期	東京
yoshikawakazuki	吉川和輝	JPML	E3②	male	08/18	第41期	東京
yoshimuratakumi	吉村卓美	JPML	—	male	02/19	第41期	山口
yoshimurayuusuke	吉村悠佑	JPML	—	male	08/13	第42期	中部
yoshizawakouji	吉沢康次	JPML	D1②	male	02/08	第22期	東京
yoshizawasatsuki	吉沢彩月	JPML	—	female	05/12	第40期	東京
yoshidakeigo	吉田圭吾	JPML	—	male	11/01	第30期	関西
yoshidakouta	吉田光太	JPML	C3	male	07/25	第39期	東京
yoshidayukio	吉田幸雄	JPML	—	male	03/13	第5期	北関東
yoshidaayano	吉田彩乃	JPML	—	female	08/26	第30期	九州
yoshidakatsuya	吉田勝弥	JPML	—	male		第22期	東北
yoshidashouko	吉田祥子	JPML	—	female	02/03	第34期	北海道
yoshidataiju	吉田大樹	JPML	—	male	05/12	第42期	北海道
yoshidatakuya	吉田拓也	JPML	—	male	06/22	第31期	関西
tadashi_yoshida	吉田直	JPML	A2	male	02/18	第23期	東京
yoshimototakuya	吉本卓矢	JPML	—	male	04/06	第28期	関西
atsushi_yoshino	吉野敦志	JPML	B1	male	03/26	第26期	北陸
yoshizawashouma	吉澤彰真	JPML	E3②	male	07/20	第41期	東京
yoshizawaryuuya	吉澤竜也	JPML	D2②	male	07/11	第36期	東京
tachibanaharuka	橘はるか	JPML	—	female	12/22	第39期	九州
tachibanataichi	橘太一	JPML	—	male	04/02	第35期	静岡
tachibanarana	橘来奈	JPML	C3	female	10/30	第41期	東京
kyakunonaoki	客野直	JPML	B2	male	08/19	第23期	東京
hisayamakouji	久山浩司	JPML	—	male	09/02	第25期	東京
kuboyuuhei	久保有平	JPML	—	male	03/06	第39期	関西
kubotakanori	久保隆徳	JPML	—	male	12/28	第38期	四国
oikawakeiji	及川慶次	JPML	E2②	male	08/20	第31期	東京
miyakoshidaisuke	宮越大輔	JPML	—	male	11/28	第41期	北海道
miyanarisaku	宮成さく	JPML	—	female	04/16	第38期	北陸
miyakawasatoru	宮川悟	JPML	—	male	05/01	第40期	北陸
miyakawatomitarou	宮川富太郎	JPML	D3②	male	02/05	第37期	東京
miyamurashin	宮村信	JPML	E2①	male	12/28	第34期	東京
miyatamasaya	宮田雅也	JPML	D3①	male	08/20	第37期	東京
miyauchikozue	宮内こずえ	JPML	C1	female	03/28	第18期	四国
miyamotoyoshinori	宮本義章	JPML	—	male	07/19	第42期	四国
miyazawadaisuke	宮澤太佑	JPML	C1	male	12/26	第35期	東京
miyazakiatsushi	宮﨑惇	JPML	—	male	03/09	第38期	九州
itoukou	居藤洸	JPML	C3	male	03/25	第29期	東京
yuumi_uotani	魚谷侑未	JPML	C1	female	11/02	第25期	東京
hashimotonaoki	橋本直樹	JPML	E3①	male	11/21	第40期	東京
erikawamaiko	襟川麻衣子	JPML	E2②	female	04/01	第32期	東京
kondariku	近田陸	JPML	—	male	10/15	第40期	東京
hisaharu_kondo	近藤久春	JPML	A2	male	05/09	第17期	東京
kondoumitsumasa	近藤光将	JPML	—	male	07/30	第38期	中部
kondoumika	近藤美香	JPML	—	female	10/24	第34期	中部
kondouren	近藤廉	JPML	—	male	01/20	第38期	東京
kanekotakayuki	金子貴行	JPML	D2②	male	12/23	第10期	東京
kanekomasaaki	金子正明	JPML	D2②	male		第28期	東京
kanasugisora	金杉空	JPML	D2②	male	04/11	第37期	東京
kanedatomoki	金田智紀	JPML	D3②	male	07/10	第38期	東京
kanehirayuuki	金平裕樹	JPML	—	male	12/21	第22期	中部
kanazawahayato	金澤隼人	JPML	D2①	male	02/07	第36期	東京
kanazawariku	金澤陸	JPML	E2②	male	06/07	第39期	東京
kanazawashou	金澤翔	JPML	—	male	12/13	第42期	北海道
komadamako	駒田真子	JPML	—	female	01/11	第35期	東京
kushihashikouhei	櫛橋孝平	JPML	—	male	11/17	第38期	四国
kushidatoshita	櫛田利太	JPML	C3	male	09/05	第27期	東京
kurishimayuki	栗島有紀	JPML	—	female	12/08	第36期	静岡
kuwaharahiroki	桑原宏貴	JPML	—	male	04/24	第36期	中部
kuwadakenta	桑田憲汰	JPML	C3	male	05/04	第35期	関西
tsukinomiyu	月野桜悠	JPML	—	female	09/30	第39期	北陸
inumitakeshi	犬見武史	JPML	D2①	male	01/10	第26期	東京
inukaiayano	犬飼あやの	JPML	D2①	female	05/16	第34期	東京
inukainaoki	犬飼直紀	JPML	—	male	03/05	第36期	中部
motoujinazuha	元氏なづは	JPML	E3①	female	09/16	第42期	東京
haraerika	原えりか	JPML	—	female	11/20	第38期	関西
haradajunji	原田潤次	JPML	C3	male	09/25	第37期	東京
haradatomohiko	原田知彦	JPML	—	male	10/14	第28期	中部
haradayasumasa	原田保正	JPML	—	male	01/02	第7期	関西
harayuusuke	原佑典	JPML	D2②	male	01/29	第29期	東京
takashi_furuhashi	古橋崇志	JPML	A1	male	03/20	第21期	東京
koshoujiami	古小路亜美	JPML	E3②	female	07/06	第39期	東京
koji_furukawa	古川孝次	JPML	A1	male	04/12	第1期	中部
furukawaayano	古川彩乃	JPML	C3	female	10/20	第31期	東京
tomomi_furutani	古谷知美	JPML	C3	female	01/07	第25期	東京
furumotokazuhiro	古本和宏	JPML	C2	male	10/19	第29期	東京
toidakiyomitsu	戸井田清光	JPML	C1	male	08/21	第22期	東京
todamasaki	戸田誠輝	JPML	B2	male	09/20	第28期	東京
saori_azuma	吾妻さおり	JPML	D1②	female	05/10	第21期	東京
gotouayumi	後藤あゆみ	JPML	—	female	11/15	第37期	東北
gotousaki	後藤咲	JPML	D2②	female	02/17	第34期	中部
gotoutoshitaka	後藤俊孝	JPML	—	male	02/11	第26期	関西
gotoumaho	後藤真帆	JPML	E2②	female	11/19	第41期	東京
gotoumasahiro	後藤正博	JPML	—	male	10/23	第22期	北陸
gotouryuuta	後藤竜太	JPML	—	male	06/15	第41期	関西
mikoshibayuri	御子柴佑梨	JPML	E3①	female	04/11	第38期	東京
mifuneharuto	御船晴斗	JPML	D3②	male	04/23	第40期	東京
mifuneshouta	御船翔太	JPML	E2①	male	08/21	第40期	東京
mitsuokamaori	光岡舞織	JPML	E1②	female	10/24	第39期	東京
atsuyashouta	厚谷昇汰	JPML	C2	male	11/19	第29期	東京
mukaiyuzuru	向井譲	JPML	E1①	male		第28期	東京
mukainakanoren	向中野嶺	JPML	—	male	10/19	第40期	北海道
takaokasaburou	孝岡三郎	JPML	—	male	10/05	第38期	関西
kudoushinichi	工藤清一	JPML	—	male	01/13	第38期	東北
hironakaeiji	弘中栄司	JPML	—	male	07/12	第30期	九州
ekumatooru	江隈亨	JPML	—	male	09/07	第10期	東京
ezakishinnosuke	江崎しんのすけ	JPML	B2	male	01/18	第36期	東京
arairyouta	荒井伶太	JPML	D3①	male	11/05	第36期	東京
aramasayoshi	荒正義	JPML	—	male	04/12	第1期	東京
aratanimakoto	荒谷誠	JPML	—	male	11/13	第22期	北陸
arakikousuke	荒木宏祐	JPML	—	male	06/03	第38期	北海道
kazukiyuumi	香月佑海	JPML	E1①	female	05/10	第37期	東京
kounoran	香野蘭	JPML	D1②	female	04/26	第37期	東京
takamiya	高宮まり	JPML	D1	female	1988/11/08	第27期	茨城県
takahashikei	高橋慧	JPML	D3①	female	03/09	第35期	東京
takahashinaoya	高橋尚也	JPML	E1②	male	05/06	第41期	東京
takahashinobuo	高橋信夫	JPML	—	male	11/03	第24期	北関東
takahashidaisuke	高橋大輔	JPML	D1②	male	04/18	第37期	静岡
tomoya_takahashi	高橋智也	JPML	E3①	male	05/16	第40期	東京
takahashiryousuke	高橋亮輔	JPML	—	male	01/08	第38期	四国
ryosuke_takahashi	高橋良介	JPML	B1	male	07/17	第26期	東京
takahashiyuki	高橋侑希	JPML	—	female	08/27	第29期	中部
takayamadan	高山暖	JPML	D3②	male	12/09	第38期	東京
takamuraryuuichi	高村龍一	JPML	D2①	male	08/08	第38期	静岡
takamurakakeru	高村翔	JPML	—	male	01/09	第30期	山口
takazawamasashi	高沢雅	JPML	—	male	09/10	第26期	東京
takatanikeiichi	高谷圭一	JPML	—	male	09/25	第30期	関西
takachimao	高地真生	JPML	—	male	04/26	第40期	北陸
takatamaiko	高田麻衣子	JPML	—	female	12/23	第25期	北関東
takadarin	高田凜	JPML	E3①	male	12/29	第41期	東京
takabatakekeita	高畑敬太	JPML	C3	male	07/10	第38期	東京
takakinorio	高木規雄	JPML	B2	male	08/20	第37期	東京
takanokouji	高野宏治	JPML	D3①	male	12/18	第36期	東京
takayanagitomoya	高柳寛哉	JPML	D3①	male	07/30	第35期	東京
aizawayuuki	合澤雄貴	JPML	—	male	07/21	第38期	九州
kurobakakeru	黒羽翔	JPML	—	male	07/17	第36期	関西
kurosakiremu	黒崎れむ	JPML	—	female	03/07	第42期	東北
kurosakisouta	黒崎荘太	JPML	E2②	male	12/19	第40期	東京
kuroishishou	黒石翔	JPML	—	male	10/18	第38期	関西
kurokawayuuki	黒川裕輝	JPML	E3①	male	11/27	第42期	東京
kurosawa	黒沢咲	JPML	C1	female	10/06	第22期	北海道札幌市
kurodaeitarou	黒田瑛太郎	JPML	E3②	male	12/07	第42期	関西
kurodahideki	黒田英輝	JPML	D3①	male	04/11	第37期	東京
kurodaryou	黒田良	JPML	E3①	male	01/24	第35期	東京
kurokimasao	黒木真生	JPML	C3	male	05/08	第13期	東京
imaokahidetada	今岡英忠	JPML	E3①	male	05/13	第27期	東京
imaizumiseiichi	今泉誠一	JPML	C1	male	04/28	第29期	東京
imamurasougo	今村壮吾	JPML	D3①	male	02/28	第40期	東京
imazatokunihiko	今里邦彦	JPML	C3	male		第42期	東京
negoshihideto	根越英斗	JPML	—	male	06/21	第33期	関西
konnomitsunori	紺野光則	JPML	D1①	male	08/21	第33期	東京
shintaro_konno	紺野真太郎	JPML	A1	male	09/17	第16期	東京
sasakihirofumi	佐々木啓文	JPML	—	male	11/09	第29期	東北
sasaki	佐々木寿人	JPML	A1	male	1979/08/01	第19期	宮城県仙台市
sasakimasayuki	佐々木将幸	JPML	—	male		第38期	九州
sasakidaiki	佐々木大輝	JPML	—	male	12/17	第40期	関西
sasakimakoto	佐々木亮	JPML	—	male	04/16	第15期	関西
sasakiryousuke	佐々木諒輔	JPML	D1②	male	08/02	第39期	北関東
satouairi	佐藤あいり	JPML	—	female	2//29	第25期	中部
satoumanabu	佐藤学	JPML	—	male	08/24	第39期	静岡
satoukenji	佐藤健治	JPML	—	male	02/11	第22期	九州
satoutakayuki	佐藤孝行	JPML	E1②	male	06/04	第35期	東京
satouakihiro	佐藤晃大	JPML	—	male	05/19	第29期	東北
satouhiroki	佐藤浩樹	JPML	E2①	male	08/21	第39期	東京
satoujunki	佐藤純希	JPML	—	male	12/05	第40期	東北
satoutakuma	佐藤拓馬	JPML	E2①	male	10/17	第40期	北関東
satouryou-2	佐藤凌	JPML	—	male	12/04	第37期	北海道
satouryou	佐藤遼	JPML	E1②	male		第37期	東京
satoukouichirou	佐藤滉一朗	JPML	—	male		第40期	九州
saekiissei	佐伯壱晟	JPML	—	male	04/07	第41期	中部
sunagotadanobu	砂子直信	JPML	D3①	male	08/24	第38期	東京
tsumakirei	妻木怜	JPML	—	male	03/05	第38期	関西
saitouhiroki	斎藤寛生	JPML	E3①	male	01/06	第26期	中部
saitoukeiji	斎藤桂史	JPML	C2	male	08/11	第18期	東京
hosodariku	細田理矩	JPML	—	male	08/30	第41期	関西
sakaikoutarou	坂井孝太郎	JPML	—	male	06/17	第41期	中部
sakahirajirou	坂平二郎	JPML	—	male	01/04	第33期	九州
sakuraikazuki	桜井カズキ	JPML	D3①	male	05/05	第39期	東京
sakuraieiichi	桜井瑛一	JPML	—	male	08/01	第42期	関西
sakuraikouki	桜井紘己	JPML	C2	male	09/01	第18期	東京
sakurazakayuka	桜坂優花	JPML	—	female	04/04	第42期	沖縄
himeko_sakurakawa	桜川姫子	JPML	D1①	female	12/07	第31期	東京
sakuragirisa	桜木里咲	JPML	—	female	07/29	第34期	東京
mitsuyamayu	三ツ谷繭	JPML	—	female	09/25	第37期	東京
mitsuiryou	三井亮	JPML	D2②	male	03/21	第37期	東京
daisuke_miura	三浦大輔	JPML	B1	male	01/20	第23期	東北
miura	三浦智博	JPML	A1	male	1987/04/26	第28期	愛知県小牧市
mitoryousuke	三戸亮祐	JPML	C3	male	03/23	第11期	中部
mitashinya	三田晋也	JPML	E1②	male	11/09	第25期	東京
mitafujio	三田不二夫	JPML	B2	male	08/13	第11期	東京
mitomatakuya	三苫太矩也	JPML	—	male	11/06	第34期	九州
sanbaitakayuki	三盃貴之	JPML	—	male	01/07	第19期	北海道
sanbaihitoshi	三盃志	JPML	—	male	11/05	第19期	北海道
yamaihiroshi	山井弘	JPML	C2	male	02/03	第14期	東京
yamayayouhei	山屋洋平	JPML	—	male	04/08	第33期	北海道
yamashitakeisuke	山下敬介	JPML	—	male	12/17	第30期	東北
yamashitamasahiro	山下将浩	JPML	—	male	10/26	第33期	九州
yamashitamunetake	山下棟健	JPML	—	male	10/29	第38期	中部
yamamiyamasayuki	山宮雅之	JPML	E2②	male	02/06	第38期	四国
yamamotoryuu	山元龍	JPML	—	male	04/29	第38期	九州
yamaguchiyayoi	山口やよい	JPML	—	female		第23期	東京
yamaguchishin	山口真	JPML	—	male	05/23	第41期	静岡
yamaguchitetsuya	山口哲也	JPML	—	male	12/03	第42期	静岡
yamamurotaiji	山室太二	JPML	—	male	12/28	第26期	関西
yamagamitsuyoshi	山神剛	JPML	—	male	07/31	第24期	関西
yamakawakoushirou	山川高志郎	JPML	C1	male	10/18	第36期	東京
yamanakatsubasa	山中翼	JPML	—	male	02/12	第25期	関西
yamadamanabu	山田学武	JPML	B2	male	10/09	第29期	東京
hiroyuki_yamada	山田浩之	JPML	A1	male	05/01	第17期	東京
yamadakousuke	山田航輔	JPML	E3①	male	03/03	第39期	北陸
yamadaitsuki	山田樹	JPML	D2②	male	05/13	第37期	東京
yamadamasatoshi	山田優駿	JPML	—	male	04/27	第34期	中部
yamadayuuki	山田祐輝	JPML	C2	male	02/06	第38期	東京
yamadahiroki	山田裕紀	JPML	—	male	11/18	第40期	東京
yamadaharuto	山田陽斗	JPML	—	male	12/24	第41期	四国
yamadaren	山田蓮	JPML	E3②	male	10/02	第41期	東京
